t	RBG	i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	i*	TB
789	8	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	9	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	10	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	11	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
789	12	33382	42388.8	11918.2	13202	21718.2	12076.1	5833.07	13332.8	6612.65	2650.09	7	632
790	1	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	2	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	3	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	4	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	5	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	6	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	7	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	8	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	9	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	10	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	11	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
790	12	22950.1	25218.7	19648.9	13202	21718.2	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	1	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	2	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	3	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	4	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	5	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	6	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	7	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	8	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	9	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	10	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	11	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
791	12	22950.1	25218.7	19648.9	17097.7	13657.8	12076.1	5833.07	7919.48	6612.65	5371.8	7	376
792	1	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	2	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	3	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	4	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	5	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	6	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	7	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
792	8	63634.5	4829.1	19648.9	17097.7	13657.8	15618.5	5833.07	7919.48	6612.65	6947.53	4	488
