% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2172	1	2	2	0	2	65	0	1
2173	1	2	2	0	0	41	0	1
2174	1	2	2	0	0	41	0	1
2175	1	2	2	0	12	301	0	1
2180	1	2	2	0	12	301	0	1
2186	1	2	2	0	18	485	0	1
2192	1	2	2	0	22	693	0	1
2195	1	2	2	0	12	301	0	1
2198	1	2	2	0	12	301	0	1
2200	1	2	2	0	10	233	0	1
2204	1	2	2	0	18	485	0	1
2210	1	2	2	0	10	233	0	1
2217	1	2	2	0	8	209	0	1
2222	1	2	2	0	8	209	0	1
2228	1	2	2	0	18	485	0	1
2229	1	2	2	0	8	209	0	1
2230	1	2	2	0	8	209	0	1
2231	1	2	2	0	8	209	0	1
2237	1	2	2	0	10	233	0	1
2242	1	2	2	0	10	233	0	1
2245	1	2	2	0	12	301	0	1
2247	1	1	1	0	10	501	0	1
2248	1	2	2	0	16	967	0	1
2250	1	2	2	0	16	967	0	1
2252	1	2	2	0	14	807	0	1
2256	1	2	2	0	14	807	0	1
2261	1	2	2	0	2	137	0	1
2264	1	2	2	0	10	501	0	1
2265	1	2	2	0	10	501	0	1
2267	1	2	2	0	10	501	0	1
2269	1	2	2	0	8	437	0	1
2273	1	1	1	0	4	225	0	1
2275	1	2	2	0	6	325	0	1
2279	1	2	2	0	8	437	0	1
2282	1	2	2	0	14	807	0	1
2284	1	2	2	0	14	807	0	1
2285	1	2	2	0	14	807	0	1
2288	1	2	2	0	18	999	0	1
2296	1	2	2	0	16	453	0	1
2298	1	2	2	0	16	453	0	1
2300	1	2	2	0	16	453	0	1
2302	1	2	2	0	16	453	0	1
2307	1	2	2	0	14	389	0	1
2318	1	2	2	0	14	389	0	1
2320	1	2	2	0	14	389	0	1
2322	1	2	2	0	14	389	0	1
2324	1	2	2	0	14	389	0	1
2328	1	2	2	0	8	209	0	1
2329	1	2	2	0	8	209	0	1
2338	1	2	2	0	8	209	0	1
2339	1	2	2	0	8	209	0	1
2341	1	2	2	0	8	209	0	1
2343	1	2	2	0	8	209	0	1
2344	1	2	2	0	8	209	0	1
2345	1	2	2	0	0	41	0	1
2350	1	2	2	0	8	209	0	1
2357	1	2	2	0	6	153	0	1
2359	1	2	2	0	6	153	0	1
2361	1	2	2	0	6	153	0	1
2368	1	2	2	0	16	453	0	1
2376	1	2	2	0	16	453	0	1
2378	1	2	2	0	16	453	0	1
2381	1	2	2	0	16	453	0	1
2395	1	2	2	0	6	153	0	1
2398	1	2	2	0	6	153	0	1
2402	1	2	2	0	12	301	0	1
2415	1	2	2	0	8	209	0	1
2417	1	2	2	0	8	209	0	1
2418	1	2	2	0	8	209	0	1
2434	1	2	2	0	20	597	0	1
2435	1	2	2	0	20	597	0	1
2437	1	2	2	0	20	597	0	1
2440	1	2	2	0	20	597	0	1
2456	1	2	2	0	12	301	0	1
2459	1	2	2	0	12	301	0	1
2462	1	2	2	0	12	301	0	1
2464	1	2	2	0	12	301	0	1
2475	1	2	2	0	8	209	0	1
2477	1	2	2	0	8	209	0	1
2478	1	2	2	0	8	209	0	1
2479	1	2	2	0	8	209	0	1
2494	1	2	2	0	10	233	0	1
2496	1	2	2	0	10	233	0	1
2499	1	2	2	0	10	233	0	1
2502	1	2	2	0	14	389	0	1
2513	1	2	2	0	8	209	0	1
2514	1	2	2	0	8	209	0	1
2516	1	2	2	0	8	209	0	1
2519	1	2	2	0	8	209	0	1
2524	1	2	2	0	18	485	0	1
2533	1	2	2	0	2	65	0	1
2535	1	2	2	0	2	65	0	1
2536	1	2	2	0	2	65	0	1
2537	1	2	2	0	2	65	0	1
2538	1	2	2	0	2	65	0	1
2539	1	2	2	0	2	65	0	1
2540	1	2	2	0	8	209	0	1
2541	1	2	2	0	8	209	0	1
2554	1	2	2	0	14	389	0	1
2556	1	2	2	0	14	389	0	1
2558	1	2	2	0	14	389	0	1
2561	1	2	2	0	12	301	0	1
2564	1	2	2	0	12	301	0	1
2578	1	2	2	0	6	153	0	1
2581	1	2	2	0	6	153	0	1
2582	1	2	2	0	6	153	0	1
2585	1	2	2	0	18	485	0	1
2587	1	2	2	0	18	485	0	1
2596	1	2	2	0	6	153	0	1
2597	1	2	2	0	6	153	0	1
2598	1	2	2	0	6	153	0	1
2599	1	2	2	0	6	153	0	1
2600	1	2	2	0	6	153	0	1
2601	1	2	2	0	6	153	0	1
2603	1	2	2	0	12	301	0	1
2605	1	2	2	0	12	301	0	1
2606	1	2	2	0	12	301	0	1
2607	1	2	2	0	12	301	0	1
2608	1	2	2	0	14	389	0	1
2614	1	2	2	0	12	301	0	1
2617	1	2	2	0	12	301	0	1
2620	1	2	2	0	12	301	0	1
2632	1	2	2	0	12	301	0	1
2633	1	2	2	0	12	301	0	1
2635	1	2	2	0	12	301	0	1
2650	1	2	2	0	14	389	0	1
2651	1	2	2	0	14	389	0	1
2653	1	2	2	0	14	389	0	1
2670	1	2	2	0	6	153	0	1
2672	1	2	2	0	6	153	0	1
2673	1	2	2	0	6	153	0	1
2690	1	2	2	0	14	389	0	1
2691	1	2	2	0	14	389	0	1
2695	1	2	2	0	14	389	0	1
2708	1	2	2	0	8	209	0	1
2710	1	2	2	0	8	209	0	1
2712	1	2	2	0	8	209	0	1
2726	1	2	2	0	4	105	0	1
2727	1	1	1	0	0	85	0	1
2728	1	1	1	0	0	41	0	1
2728	1	2	2	0	10	233	0	1
2729	1	1	1	0	0	41	0	1
2729	1	2	2	0	10	233	0	1
2730	1	1	1	0	0	85	0	1
2732	1	2	2	0	10	501	0	1
2753	1	1	1	0	12	301	0	1
2753	1	2	2	0	20	597	0	1
2754	1	1	1	0	12	621	0	1
2756	1	1	1	0	12	621	0	1
2759	1	1	1	0	12	621	0	1
2761	1	1	1	0	2	137	0	1
2772	1	1	1	0	2	137	0	1
2785	1	1	1	0	2	65	0	1
2787	1	1	1	0	2	65	0	1
2788	1	1	1	0	2	65	0	1
2789	1	1	1	0	2	65	0	1
2790	1	1	1	0	2	65	0	1
2791	1	1	1	0	2	65	0	1
2887	1	1	1	0	2	65	0	1
2888	1	2	2	0	12	621	0	1
2906	1	2	2	0	14	807	0	1
