% time	cellId	IMSI	RNTI	rsrp	sinr
0.275214	1	1	1	1.9618e-15	10.3888
0.275214	1	2	2	2.86048e-15	15.1477
0.276214	1	1	1	1.16087e-15	6.14743
0.276214	1	2	2	4.22219e-15	22.3587
0.277214	1	1	1	5.48655e-16	2.90542
0.277214	1	2	2	4.38161e-15	23.2029
0.278214	1	1	1	2.45078e-16	1.29781
0.278214	1	2	2	2.97864e-15	15.7735
0.279214	1	1	1	1.01267e-16	0.536263
0.279214	1	2	2	1.75041e-15	9.26932
0.280214	1	1	1	1.56628e-16	0.829426
0.280214	1	2	2	2.83748e-15	15.0259
0.281214	1	1	1	6.7404e-16	3.56939
0.281214	1	2	2	6.55813e-15	34.7287
0.282214	1	1	1	1.61673e-15	8.56143
0.282214	1	2	2	1.06525e-14	56.4103
0.283214	1	1	1	2.37007e-15	12.5507
0.283214	1	2	2	1.17787e-14	62.3744
0.284214	1	1	1	2.2585e-15	11.9599
0.284214	1	2	2	8.67915e-15	45.9606
0.285214	1	1	1	1.34064e-15	7.09941
0.285214	1	2	2	4.52145e-15	23.9435
0.286214	1	1	1	3.7226e-16	1.97131
