% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.296	1	2	130	7	2	26	1836	0	0
1.297	1	2	130	8	2	26	1836	0	0
1.298	1	2	130	9	2	20	1191	0	0
1.299	1	2	130	10	2	20	1191	0	0
1.3	1	2	131	1	2	14	775	0	0
1.301	1	2	131	2	2	14	775	0	0
1.302	1	2	131	3	2	16	903	0	0
1.303	1	2	131	4	2	16	903	0	0
1.304	1	2	131	5	2	22	1383	0	0
1.305	1	1	131	6	1	12	597	0	0
1.306	1	1	131	7	1	16	903	0	0
1.307	1	1	131	8	1	16	903	0	0
1.308	1	1	131	9	1	12	597	0	0
1.309	1	1	131	10	1	12	597	0	0
1.312	1	2	132	3	2	8	421	0	0
1.313	1	2	132	4	2	8	421	0	0
1.314	1	2	132	5	2	18	967	0	0
1.315	1	2	132	6	2	18	967	0	0
1.316	1	2	132	7	2	18	967	0	0
1.317	1	2	132	8	2	18	967	0	0
1.318	1	2	132	9	2	26	1836	0	0
1.319	1	2	132	10	2	26	1836	0	0
1.32	1	2	133	1	2	22	1383	0	0
1.321	1	2	133	2	2	22	1383	0	0
1.322	1	2	133	3	2	12	597	0	0
1.323	1	2	133	4	2	12	597	0	0
1.324	1	2	133	5	2	18	967	0	0
1.325	1	2	133	6	2	18	967	0	0
1.333	1	1	134	4	1	8	421	0	0
1.335	1	2	134	6	2	18	967	0	0
1.336	1	2	134	7	2	18	967	0	0
1.337	1	2	134	8	2	18	967	0	0
1.338	1	2	134	9	2	24	1620	0	0
1.339	1	2	134	10	2	24	1620	0	0
1.34	1	2	135	1	2	24	1620	0	0
1.341	1	2	135	2	2	24	1620	0	0
1.342	1	2	135	3	2	20	1191	0	0
1.343	1	2	135	4	2	20	1191	0	0
1.344	1	2	135	5	2	18	967	0	0
1.345	1	2	135	6	2	18	967	0	0
1.346	1	1	135	7	1	14	775	0	0
1.347	1	1	135	8	1	14	775	0	0
1.348	1	1	135	9	1	12	597	0	0
1.349	1	1	135	10	1	12	597	0	0
1.35	1	1	136	1	1	0	81	0	0
1.351	1	1	136	2	1	0	81	0	0
1.352	1	1	136	3	1	6	309	0	0
1.353	1	1	136	4	1	6	309	0	0
1.354	1	2	136	5	2	18	967	0	0
1.355	1	2	136	6	2	18	967	0	0
1.356	1	2	136	7	2	14	775	0	0
1.357	1	2	136	8	2	14	775	0	0
